Date,Close/Last,Volume,Open,High,Low
01/30/2024,$127.20,2495713,$127.47,$128.24,$126.01
01/29/2024,$127.83,4298874,$124.77,$127.89,$124.57
01/26/2024,$124.57,3715753,$123.85,$125.54,$123.25
01/25/2024,$123.49,6069770,$125.09,$125.21,$119.91
01/24/2024,$120.63,3753526,$120.91,$121.09,$119.1769
01/23/2024,$118.98,2637351,$121.09,$121.6255,$118.35
01/22/2024,$120.97,2973165,$119.60,$122.22,$119.60
01/19/2024,$119.08,4079489,$117.42,$119.25,$116.33
01/18/2024,$117.09,2334828,$117.81,$118.21,$115.63
01/17/2024,$116.98,3286525,$115.90,$117.16,$114.88
01/16/2024,$118.25,3007934,$118.36,$118.79,$116.61
01/12/2024,$119.34,2044836,$120.48,$121.30,$118.475
01/11/2024,$119.92,3875086,$120.78,$121.48,$118.57
01/10/2024,$121.53,4049499,$120.83,$122.05,$120.05
01/09/2024,$121.00,5883353,$120.54,$121.71,$119.62
01/08/2024,$122.34,4273215,$122.58,$122.93,$121.2206
01/05/2024,$122.21,2747654,$121.50,$123.8841,$120.98
01/04/2024,$122.90,3215859,$122.25,$124.19,$121.5967
01/03/2024,$122.35,5391046,$125.05,$125.45,$121.58
01/02/2024,$128.27,4500927,$129.20,$129.75,$126.77
12/29/2023,$130.92,2049211,$132.87,$133.24,$130.2801
12/28/2023,$133.13,2087998,$132.50,$133.53,$132.04
12/27/2023,$132.61,3561284,$131.07,$133.43,$130.58
12/26/2023,$131.37,2485036,$130.67,$132.01,$130.34
12/22/2023,$130.69,3342672,$129.74,$132.08,$129.24
12/21/2023,$129.14,3810861,$127.40,$129.21,$126.75
12/20/2023,$126.10,5627348,$127.83,$129.54,$125.95
12/19/2023,$128.29,5025511,$125.56,$129.31,$125.04
12/18/2023,$125.96,4605515,$129.50,$129.74,$125.89
12/15/2023,$129.37,7990074,$127.69,$130.41,$127.0402
12/14/2023,$128.47,7687257,$121.00,$128.66,$120.67
12/13/2023,$119.75,4983576,$113.20,$119.99,$112.44
12/12/2023,$113.21,2392233,$113.12,$113.24,$112.09
12/11/2023,$112.99,3566885,$112.65,$113.265,$112.33
12/08/2023,$112.57,3436317,$113.25,$114.63,$111.70
12/07/2023,$113.86,2651650,$112.53,$114.48,$112.11
12/06/2023,$112.11,6180013,$116.00,$117.29,$111.05
12/05/2023,$115.28,2710190,$115.12,$116.02,$114.5723
12/04/2023,$115.54,4724538,$112.75,$115.77,$112.56
12/01/2023,$114.28,3943831,$112.50,$114.43,$112.20
11/30/2023,$112.37,4248687,$111.26,$112.52,$110.77
11/29/2023,$111.37,4453955,$108.90,$112.6699,$108.60
11/28/2023,$107.64,2295178,$106.75,$107.92,$106.00
11/27/2023,$106.75,2422196,$106.53,$107.105,$105.51
11/24/2023,$107.00,975180,$106.70,$107.05,$106.045
11/22/2023,$106.78,1906306,$106.94,$107.45,$106.04
11/21/2023,$105.78,2208547,$106.00,$106.82,$105.4729
11/20/2023,$106.45,2780871,$104.67,$106.83,$104.3901
11/17/2023,$104.96,2906807,$104.17,$105.3991,$103.07
11/16/2023,$103.70,2719286,$104.03,$104.53,$102.7901
11/15/2023,$104.28,3075409,$102.59,$104.63,$102.59
11/14/2023,$102.59,4280901,$100.79,$104.05,$100.78
11/13/2023,$97.73,2722498,$97.77,$98.27,$96.93
11/10/2023,$98.64,2408561,$97.88,$98.71,$96.15
11/09/2023,$96.85,2995526,$99.84,$100.00,$96.20
11/08/2023,$99.16,2064175,$98.83,$99.66,$98.39
11/07/2023,$98.93,3006634,$98.48,$100.87,$98.25
11/06/2023,$98.33,3150948,$100.40,$101.11,$97.46
11/03/2023,$100.90,4573310,$99.59,$101.55,$99.465
11/02/2023,$98.20,4178411,$97.23,$98.41,$96.68
11/01/2023,$94.75,3923006,$92.72,$94.90,$91.76
10/31/2023,$92.35,2809753,$92.45,$92.63,$91.14
10/30/2023,$92.38,4067940,$90.62,$92.935,$90.435
10/27/2023,$89.61,3367785,$91.99,$91.99,$88.59
10/26/2023,$92.30,3006714,$91.95,$94.20,$91.57
10/25/2023,$91.91,3506626,$94.66,$94.70,$91.625
